字段1,name,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
https://yt3.ggpht.com/a/AGF-l7_ZRjYqwluJ5pxFAMQ8BHvBofirc1frl74XjA=s88-c-k-c0xffffffff-no-rj-mo,TruthRevolutionNet,338,"632,467","516,577,579",US,Entertainment,"Jun 18th, 2016",B+,"23,659th","5,815th","4,359th",$1.6K - $25K,$18.8K - $300.6K
https://yt3.ggpht.com/a/AGF-l7-IyxnDXG9fQ0opQY01DFUAZAmCUZkrlHB2fg=s88-c-k-c0xffffffff-no-rj-mo,STORROR,366,"4,672,749","474,541,427",GB,Entertainment,"Oct 10th, 2010",B+,"1,644th","6,567th","4,360th",$3.6K - $57.7K,$43.3K - $692.5K
https://yt3.ggpht.com/a/AGF-l78x5D7aWTv4F8fafDk7wSPo-kIxXXM0Rv8K=s88-c-k-c0xffffffff-no-rj-mo,Daniel Tigre en Español,355,"1,848,208","820,877,525",,Film,"Mar 24th, 2015",B+,"6,621st","3,709th","4,361st",$9.7K - $154.5K,$115.9K - $1.9M
https://yt3.ggpht.com/a/AGF-l7_iF-Xdo1WPefV87PzrQt8p5S9boUCQx3WF6Q=s88-c-k-c0xffffffff-no-rj-mo,Ezequiel Caffaro/ATV - Los Simpson Latino,"1,347","810,310","682,787,803",AR,Entertainment,"Aug 27th, 2015",B+,"17,459th","4,447th","4,363rd",$4.3K - $68.7K,$51.5K - $823.8K
https://yt3.ggpht.com/a/AGF-l78QT-20cXaNYHbqU3Ub3170jAAwvUvLCaHW6w=s88-c-k-c0xffffffff-no-rj-mo,MINEE EATS,564,"1,378,671","279,585,899",US,Entertainment,"Mar 11th, 2017",B+,"9,709th","16,562nd","4,364th",$5.6K - $90.1K,$67.6K - $1.1M
https://yt3.ggpht.com/a/AGF-l79tAZohziFEPhl3fD6PA4ehNMxH74Olqq3z0g=s88-c-k-c0xffffffff-no-rj-mo,BUM!,393,"823,709","258,787,399",IT,Entertainment,"Apr 30th, 2014",B+,"21,901st","22,141st","4,365th",$9.5K - $152.4K,$114.3K - $1.8M
https://yt3.ggpht.com/a/AGF-l7-6WuIiMNZAbinPhTa8L9bpB3ooH3mP74lqYQ=s88-c-k-c0xffffffff-no-rj-mo,FunnyVines,755,"1,151,176","353,264,310",US,Comedy,"Dec 16th, 2016",B+,"18,599th","9,669th","4,366th",$9.7K - $155.8K,$116.9K - $1.9M
https://yt3.ggpht.com/a/AGF-l79GerT82aFlgHCbxrxD6Vd-3LVcFH_9WkZtzA=s88-c-k-c0xffffffff-no-rj-mo,ShadowPriestok - Евгений…,"2,468","4,125,646","1,137,273,965",RU,Games,"Mar 20th, 2012",B+,"1,987th","2,405th","4,367th",$13.2K - $211.9K,$158.9K - $2.5M
https://yt3.ggpht.com/a/AGF-l7_x9zdo1UJgDvaKXEytFFekCY3mOJLSyoBL8Q=s88-c-k-c0xffffffff-no-rj-mo,Ayşe Yıldız Deneyleri,46,"2,804","51,798,378",US,,"Sep 13th, 2018",B+,"1,919,776th","672,880th","4,370th",$4K - $64.7K,$48.5K - $776.5K
https://yt3.ggpht.com/a/AGF-l78mY98T0dgaxe4OTKxxFbDWUVxtKyBDN5GoDQ=s88-c-k-c0xffffffff-no-rj-mo,Minecraft Parodileri,905,"1,143,354","443,537,282",TR,Games,"Feb 2nd, 2017",B+,"12,680th","7,198th","4,369th",$5.4K - $86K,$64.5K - $1M
https://yt3.ggpht.com/a/AGF-l7_xYo3xaiJWImnUE8c5ZQuAPbIXQfiFAOFv4Q=s88-c-k-c0xffffffff-no-rj-mo,Hindustan Times,"14,428","1,230,940","340,412,341",IN,News,"Nov 16th, 2005",B+,"13,938th","8,534th","4,371st",$0 - $0,$0 - $0
https://yt3.ggpht.com/a/AGF-l7-i0Sx6oW7wbc0syeuOMXJ17K_Vz6pdgIClAQ=s88-c-k-c0xffffffff-no-rj-mo,即新聞,"8,346","140,773","192,798,150",TW,News,"Mar 22nd, 2012",B+,"105,962nd","28,973rd","4,373rd",$4.5K - $72.4K,$54.3K - $868.2K
https://yt3.ggpht.com/a/AGF-l78x2sjpiI4j6CFLLzL5dT_ALhzA2XZ2-57fGA=s88-c-k-c0xffffffff-no-rj-mo,LeapFrog,569,"393,880","261,293,277",US,Education,"Jun 24th, 2008",B+,"39,584th","17,129th","4,374th",$679 - $10.9K,$8.1K - $130.4K
https://yt3.ggpht.com/a/AGF-l79bqWxSGQ1azVHdIcoLpyk_7hYpbIarlxsGMA=s88-c-k-c0xffffffff-no-rj-mo,Fortnite SparkTV,351,"1,683,451","498,501,273",US,,"Jan 17th, 2018",B+,"7,258th","5,137th","4,375th",$0 - $0,$0 - $0
https://yt3.ggpht.com/a/AGF-l78bw7zTuIt9hEnPye-OZpXe-nZSqwpNGll08g=s88-c-k-c0xffffffff-no-rj-mo,camilaVEVO,106,"2,044,395","2,082,468,373",US,Music,"Sep 2nd, 2009",B+,"5,562nd",968th,"4,377th",$4.7K - $75.9K,$56.9K - $911.2K
https://yt3.ggpht.com/a/AGF-l79gVis_qNxXXnA649IxSyVnJekfhh3ZJOjTYg=s88-c-k-c0xffffffff-no-rj-mo,Become Hero,125,"43,262","15,340,018",IN,Entertainment,"May 19th, 2018",B+,"262,323rd","728,385th","4,378th",$807 - $12.9K,$9.7K - $154.9K
https://yt3.ggpht.com/a/AGF-l79Uc266_zChU7_xxl2ytL2VYBgWk921xDANDQ=s88-c-k-c0xffffffff-no-rj-mo,Albert Vishi,52,"335,642","30,096,700",US,,"Feb 10th, 2018",B+,"48,216th","407,738th","4,379th",$4.1K - $66.2K,$49.7K - $794.8K
https://yt3.ggpht.com/a/AGF-l79hLVkZZr38ZFlBJYQVEEy4SuRyFmuguVbK3Q=s88-c-k-c0xffffffff-no-rj-mo,LeoTube,52,"1,025,110","226,324,618",,Entertainment,"Jan 16th, 2018",B+,"17,027th","26,188th","4,380th",$5K - $79.9K,$60K - $959.3K
https://yt3.ggpht.com/a/AGF-l7_sLopDuJjer34st-tmMGySJzN-Vghiz9sgRw=s88-c-k-c0xffffffff-no-rj-mo,India News Viral,"9,750","1,864,986","474,041,155",IN,Entertainment,"Dec 17th, 2016",B+,"6,409th","6,497th","4,381st",$2.8K - $44.7K,$33.5K - $536.2K
https://yt3.ggpht.com/a/AGF-l7-stBFGJsNA6JUqMh6OfIYMM-NUCHqxFyhLhg=s88-c-k-c0xffffffff-no-rj-mo,InTheLittleWood,"3,559","1,815,619","478,108,061",GB,Games,"Jan 28th, 2011",B+,"6,730th","6,473rd","4,382nd",$5.6K - $89.8K,$67.4K - $1.1M
https://yt3.ggpht.com/a/AGF-l78mh6xlBcSWI-NBW2UnH3J9h10fU-GDl3rkDA=s88-c-k-c0xffffffff-no-rj-mo,Noticieros Televisa,"33,833","1,346,024","801,979,443",MX,News,"Dec 17th, 2012",B+,"11,424th","4,001st","4,383rd",$11.6K - $185.7K,$139.3K - $2.2M
https://yt3.ggpht.com/a/AGF-l7_BXhMWlP4mkei1Cpns479EHsysAZs85isb5A=s88-c-k-c0xffffffff-no-rj-mo,Jiraine,23,"36,647","13,708,498",MY,People,"Sep 25th, 2013",B+,"320,722nd","25,243,749th","4,383rd",$286 - $4.6K,$3.4K - $55K
https://yt3.ggpht.com/a/AGF-l7-_hUVWdOQkWJzwkdhvYbz0gmEWeeqWUqdAAA=s88-c-k-c0xffffffff-no-rj-mo,こうくんねみちゃんキッズライン,691,0,"178,194,622",JP,Entertainment,"Nov 12th, 2013",B+,"28,828,737th","25,900th","4,384th",$2.9K - $45.8K,$34.3K - $549.3K
